"TIME","PIN 9","SHUT_IN","SHUT_IN"
0.07,3.33999e-011,-1.70378e-010,0
0.070619,3.34e-011,-1.70378e-010,0
0.07061900125,0.615026,7.6607e-006,0
0.07061900375,1.84746,3.7392e-005,0
0.07061900538,2.65114,5.83597e-005,0
0.07061900669,3.2967,3.78316e-006,0
0.0706190084,4.13461,-0.000267448,0
0.07061900972,4.7863,-0.0174442,0
0.07061901131,4.92207,-0.0616886,0
0.07061901297,4.9221,-0.0973175,0
0.07061901512,4.92214,-0.10231,0
0.07061901796,4.9222,-0.103193,0
0.07061902079,4.92225,-0.103631,0
0.07061902621,4.92236,-0.104101,0
0.07061903704,4.92237,-0.104579,0
0.07061905872,4.92238,-0.105007,0
0.07061910206,4.92239,-0.105339,0
0.07061915869,4.92242,-0.1055,0
0.0706192299,4.92245,-0.105577,0
0.07061931603,4.92248,-0.105609,0
0.07061942506,4.92253,-0.105618,0
0.07061956767,4.92259,-0.105617,0
0.07062012801,4.92259,-0.105613,0
0.07095098998,4.92259,-0.105613,0
0.071643,4.92259,-0.105613,0
0.07164300985,0.0133606,-0.105773,0
0.07164302954,0.013296,-0.105643,0
0.07164304227,0.0132629,-0.10553,0
0.07164306002,0.0132166,-0.105353,0
0.07164309552,0.0131356,-0.104874,0
0.07164313306,0.0130654,-0.103954,0
0.07164316609,0.0129053,-0.0833424,0
0.07164316713,0.0128813,-0.0790322,0
0.07164316919,0.0128197,-0.0702731,0
0.07164317333,0.0126554,-0.0518884,0
0.07164317976,0.0122033,-0.0229339,0
0.07164318947,0.00936939,-0.00181815,0
0.07164319783,0.00601009,-0.000771591,0
0.07164320703,0.00327325,-0.000560134,0
0.07164321565,0.00181514,-0.000462631,0
0.07164322105,0.00133062,-0.000401666,0
0.07164322665,0.00103012,-0.000358136,0
0.07164323401,0.000797124,-0.000312943,0
0.0716432409,0.000669061,-0.0002799,0
0.07164325037,0.000558154,-0.000244732,0
0.07164326053,0.000480783,-0.000215959,0
0.07164327509,0.000404232,-0.00018493,0
0.07164329268,0.000339549,-0.000157319,0
0.07164331828,0.000273707,-0.00012837,0
0.07164335001,0.000217822,-0.000103109,0
0.07164339195,0.000167415,-7.98083e-005,0
0.07164344152,0.000126872,-6.07459e-005,0
0.07164350335,9.23974e-005,-4.43786e-005,0
0.0716435761,6.51346e-005,-3.13518e-005,0
0.07164366257,4.37475e-005,-2.10896e-005,0
