"TIME","PIN 9","SHUT_IN","SHUT_IN"
0.07,3.34e-011,-1.70378e-010,0
0.070875,3.34e-011,-1.70378e-010,0
0.07087500125,0.615026,7.6607e-006,0
0.07087500375,1.84746,3.7392e-005,0
0.07087500538,2.65114,5.83597e-005,0
0.07087500669,3.2967,3.78316e-006,0
0.0708750084,4.13461,-0.000267448,0
0.07087500972,4.7863,-0.0174442,0
0.07087501131,4.92207,-0.0616886,0
0.07087501297,4.9221,-0.0973175,0
0.07087501512,4.92214,-0.10231,0
0.07087501796,4.9222,-0.103193,0
0.07087502079,4.92225,-0.103631,0
0.07087502621,4.92236,-0.104101,0
0.07087503704,4.92237,-0.104579,0
0.07087505872,4.92238,-0.105007,0
0.07087510206,4.92239,-0.105339,0
0.07087515869,4.92242,-0.1055,0
0.0708752299,4.92245,-0.105577,0
0.07087531603,4.92248,-0.105609,0
0.07087542506,4.92253,-0.105618,0
0.07087556767,4.92259,-0.105617,0
0.07087612801,4.92259,-0.105613,0
0.07120698998,4.92259,-0.105613,0
0.071387,4.92259,-0.105613,0
0.07138700985,0.0133606,-0.105773,0
0.07138702954,0.013296,-0.105643,0
0.07138704227,0.0132629,-0.10553,0
0.07138706002,0.0132166,-0.105353,0
0.07138709552,0.0131356,-0.104874,0
0.07138713306,0.0130654,-0.103954,0
0.07138716609,0.0129053,-0.0833424,0
0.07138716713,0.0128813,-0.0790322,0
0.07138716919,0.0128197,-0.0702731,0
0.07138717333,0.0126554,-0.0518884,0
0.07138717976,0.0122033,-0.0229339,0
0.07138718947,0.00936939,-0.00181815,0
0.07138719783,0.00601009,-0.000771591,0
0.07138720703,0.00327325,-0.000560134,0
0.07138721565,0.00181514,-0.000462631,0
0.07138722105,0.00133062,-0.000401666,0
0.07138722665,0.00103012,-0.000358136,0
0.07138723401,0.000797124,-0.000312943,0
0.0713872409,0.000669061,-0.0002799,0
0.07138725037,0.000558154,-0.000244732,0
0.07138726053,0.000480783,-0.000215959,0
0.07138727509,0.000404232,-0.00018493,0
0.07138729268,0.000339549,-0.000157319,0
0.07138731828,0.000273707,-0.00012837,0
0.07138735001,0.000217822,-0.000103109,0
0.07138739195,0.000167415,-7.98083e-005,0
0.07138744152,0.000126872,-6.07459e-005,0
0.07138750335,9.23974e-005,-4.43786e-005,0
0.0713875761,6.51346e-005,-3.13518e-005,0
0.07138766257,4.37475e-005,-2.10896e-005,0
0.0713877593,2.8352e-005,-1.36805e-005,0
0.071387866,1.76696e-005,-8.5306e-006,0
0.07138797851,1.07446e-005,-5.18878e-006,0
0.07138811102,5.91762e-006,-2.85844e-006,0
0.07138827174,2.74921e-006,-1.32833e-006,0
0.07138847095,9.06382e-007,-4.38126e-007,0
0.0713887226,4.60048e-008,-2.24348e-008,0
0.07138905093,-1.98543e-007,9.57343e-008,0
0.0713895027,-1.52913e-007,7.66902e-008,0
0.07139018359,-4.807e-008,4.7988e-008,0
0.0713914004,6.52514e-009,-3.30583e-009,0
0.07139383403,7.58863e-009,-3.30082e-009,0
0.07139870129,7.17993e-010,-3.2908e-009,0
0.07140843581,-1.7082e-010,-3.27077e-009,0
0.07142790484,1.35552e-011,-3.2307e-009,0
0.07146684291,3.4799e-011,-3.15057e-009,0
0.07154471906,3.35013e-011,-2.99031e-009,0
0.07170047134,3.33974e-011,-2.66978e-009,0
0.072915,3.34e-011,-1.70378e-010,0
0.07291500125,0.615026,7.6607e-006,0
0.07291500375,1.84746,3.7392e-005,0
0.07291500538,2.65114,5.83597e-005,0
0.07291500669,3.2967,3.78316e-006,0
0.0729150084,4.13461,-0.000267448,0
0.07291500972,4.7863,-0.0174442,0
0.07291501131,4.92207,-0.0616886,0
0.07291501297,4.9221,-0.0973175,0
0.07291501512,4.92214,-0.10231,0
0.07291501796,4.9222,-0.103193,0
0.07291502079,4.92225,-0.103631,0
0.07291502621,4.92236,-0.104101,0
0.07291503704,4.92237,-0.104579,0
0.07291505872,4.92238,-0.105007,0
0.07291510206,4.92239,-0.105339,0
0.07291515869,4.92242,-0.1055,0
0.0729152299,4.92245,-0.105577,0
0.07291531603,4.92248,-0.105609,0
0.07291542506,4.92253,-0.105618,0
