Duty (%),V_PIN9_mean (V),V_SHUNT_mean (V),I_SHUNT_mean (A)
0%,3.34e-11,-1.703778333333333e-10,-1.703778333333333e-11
25%,1.4066033648173988,-0.03745685377187485,-0.0037456853771874847
50%,1.4690756030289183,-0.03821014465389279,-0.003821014465389279
75%,1.512365450837883,-0.039036855482441735,-0.0039036855482441736
100%,4.92259,-0.105613,-0.0105613
